
0p/1s
-----------------------------------
3c / 1c 0a, reusable:  81.00%, success:  32.90%
4c / 0c 1a, reusable:  50.00%, success:  31.00%
1c / 2c 0a, reusable:  95.00%, success:  30.35%
3c / 0c 1a, reusable:  50.00%, success:  27.90%
1c / 1c 1a, reusable:  65.25%, success:  24.54%
2c / 1c 0a, reusable:  81.00%, success:  24.22%
0c / 4c 0a, reusable:  50.00%, success:  21.24%
2c / 0c 1a, reusable:  50.00%, success:  19.22%
0c / 3c 1a, reusable:  31.17%, success:  17.26%
0c / 3c 0a, reusable:  50.00%, success:  16.81%
4c / 0c 0a, reusable:  50.00%, success:  16.50%
1c / 1c 0a, reusable:  81.00%, success:  15.23%
3c / 0c 0a, reusable:  50.00%, success:  14.85%
0c / 2c 1a, reusable:  24.56%, success:  12.61%
1c / 0c 1a, reusable:  50.00%, success:  10.23%
2c / 0c 0a, reusable:  50.00%, success:  10.23%
0c / 2c 0a, reusable:  45.00%, success:   9.14%
0c / 1c 1a, reusable:  15.25%, success:   5.72%
1c / 0c 0a, reusable:  50.00%, success:   5.45%
0c / 1c 0a, reusable:  31.00%, success:   2.95%

1p/3s
-----------------------------------
4c / 2c 1a, reusable:  50.00%, success:  36.00%
3c / 2c 1a, reusable:  50.00%, success:  32.40%
3c / 3c 0a, reusable:  50.00%, success:  32.40%
4c / 1c 1a, reusable:  50.00%, success:  28.50%
4c / 2c 0a, reusable:  50.00%, success:  28.50%
3c / 1c 1a, reusable:  50.00%, success:  25.65%
3c / 2c 0a, reusable:  50.00%, success:  25.65%
2c / 2c 1a, reusable:  50.00%, success:  22.32%
2c / 3c 0a, reusable:  50.00%, success:  22.32%
2c / 1c 1a, reusable:  50.00%, success:  17.67%
2c / 2c 0a, reusable:  50.00%, success:  17.67%
4c / 0c 1a, reusable:  45.00%, success:  15.50%
4c / 1c 0a, reusable:  45.00%, success:  15.50%
3c / 0c 1a, reusable:  45.00%, success:  13.95%
3c / 1c 0a, reusable:  45.00%, success:  13.95%
1c / 2c 1a, reusable:  50.00%, success:  11.88%
1c / 3c 0a, reusable:  50.00%, success:  11.88%
2c / 0c 1a, reusable:  45.00%, success:   9.61%
2c / 1c 0a, reusable:  45.00%, success:   9.61%
1c / 1c 1a, reusable:  50.00%, success:   9.40%
1c / 2c 0a, reusable:  50.00%, success:   9.40%
1c / 0c 1a, reusable:  45.00%, success:   5.12%
1c / 1c 0a, reusable:  45.00%, success:   5.12%
4c / 0c 0a, reusable:  31.00%, success:   5.00%
3c / 0c 0a, reusable:  31.00%, success:   4.50%
2c / 0c 0a, reusable:  31.00%, success:   3.10%
1c / 0c 0a, reusable:  31.00%, success:   1.65%

2p/0s
-----------------------------------
4c / 1c 0a, reusable: 100.00%, success:  86.00%
4c / 1c 1a, reusable: 100.00%, success:  86.00%
4c / 2c 0a, reusable: 100.00%, success:  86.00%
4c / 2c 1a, reusable: 100.00%, success:  86.00%
3c / 1c 0a, reusable: 100.00%, success:  78.50%
3c / 1c 1a, reusable: 100.00%, success:  78.50%
3c / 2c 0a, reusable: 100.00%, success:  78.50%
3c / 2c 1a, reusable: 100.00%, success:  78.50%
3c / 3c 0a, reusable: 100.00%, success:  78.50%
3c / 3c 1a, reusable: 100.00%, success:  78.50%
2c / 1c 0a, reusable:  95.00%, success:  60.50%
2c / 1c 1a, reusable:  95.00%, success:  60.50%
2c / 2c 0a, reusable:  95.00%, success:  60.50%
2c / 2c 1a, reusable:  95.00%, success:  60.50%
2c / 3c 0a, reusable:  95.00%, success:  60.50%
2c / 3c 1a, reusable:  95.00%, success:  60.50%
2c / 4c 0a, reusable:  95.00%, success:  60.50%
2c / 4c 1a, reusable:  95.00%, success:  60.50%
1c / 1c 0a, reusable:  81.00%, success:  36.00%
1c / 1c 1a, reusable:  81.00%, success:  36.00%
1c / 2c 0a, reusable:  81.00%, success:  36.00%
1c / 2c 1a, reusable:  81.00%, success:  36.00%
1c / 3c 0a, reusable:  81.00%, success:  36.00%
1c / 3c 1a, reusable:  81.00%, success:  36.00%
1c / 4c 0a, reusable:  81.00%, success:  36.00%
1c / 4c 1a, reusable:  81.00%, success:  36.00%
1c / 5c 0a, reusable:  81.00%, success:  36.00%
1c / 5c 1a, reusable:  81.00%, success:  36.00%
4c / 0c 0a, reusable:  50.00%, success:  36.00%
4c / 0c 1a, reusable:  50.00%, success:  36.00%
0c / 1c 0a, reusable: 100.00%, success:  33.00%
0c / 1c 1a, reusable: 100.00%, success:  33.00%
0c / 2c 0a, reusable: 100.00%, success:  33.00%
0c / 2c 1a, reusable: 100.00%, success:  33.00%
0c / 3c 0a, reusable: 100.00%, success:  33.00%
0c / 3c 1a, reusable: 100.00%, success:  33.00%
0c / 4c 0a, reusable: 100.00%, success:  33.00%
0c / 4c 1a, reusable: 100.00%, success:  33.00%
0c / 5c 0a, reusable: 100.00%, success:  33.00%
0c / 5c 1a, reusable: 100.00%, success:  33.00%
0c / 6c 0a, reusable: 100.00%, success:  33.00%
3c / 0c 0a, reusable:  50.00%, success:  28.50%
3c / 0c 1a, reusable:  50.00%, success:  28.50%
0c / 0c 0a, reusable:  50.00%, success:  16.50%
0c / 0c 1a, reusable:  50.00%, success:  16.50%
2c / 0c 0a, reusable:  45.00%, success:  15.50%
2c / 0c 1a, reusable:  45.00%, success:  15.50%
1c / 0c 0a, reusable:  31.00%, success:   5.00%
1c / 0c 1a, reusable:  31.00%, success:   5.00%

2p/1s
-----------------------------------
3c / 3c 0a, reusable: 100.00%, success:  73.50%
4c / 2c 1a, reusable:  85.56%, success:  69.75%
3c / 3c 1a, reusable:  91.67%, success:  69.12%
4c / 2c 0a, reusable: 100.00%, success:  67.00%
3c / 2c 1a, reusable:  85.56%, success:  62.25%
2c / 4c 0a, reusable:  95.00%, success:  60.50%
3c / 2c 0a, reusable: 100.00%, success:  59.50%
2c / 3c 0a, reusable:  95.00%, success:  56.00%
4c / 1c 1a, reusable:  73.83%, success:  55.38%
2c / 4c 1a, reusable:  88.33%, success:  53.75%
4c / 1c 0a, reusable: 100.00%, success:  52.50%
2c / 3c 1a, reusable:  86.67%, success:  52.06%
3c / 1c 1a, reusable:  73.83%, success:  47.88%
2c / 2c 1a, reusable:  80.56%, success:  45.88%
3c / 1c 0a, reusable: 100.00%, success:  45.00%
2c / 2c 0a, reusable:  95.00%, success:  43.40%
1c / 4c 0a, reusable:  81.00%, success:  36.00%
1c / 5c 0a, reusable:  81.00%, success:  36.00%
4c / 0c 1a, reusable:  50.00%, success:  36.00%
2c / 1c 1a, reusable:  68.83%, success:  32.94%
1c / 3c 0a, reusable:  81.00%, success:  32.90%
1c / 4c 1a, reusable:  74.33%, success:  31.35%
2c / 1c 0a, reusable:  95.00%, success:  30.35%
1c / 3c 1a, reusable:  72.67%, success:  30.19%
3c / 0c 1a, reusable:  50.00%, success:  28.50%
1c / 2c 1a, reusable:  66.56%, success:  25.92%
1c / 2c 0a, reusable:  81.00%, success:  24.22%
4c / 0c 0a, reusable:  50.00%, success:  21.24%
1c / 1c 1a, reusable:  54.83%, success:  17.01%
3c / 0c 0a, reusable:  50.00%, success:  16.81%
0c / 4c 0a, reusable:  50.00%, success:  16.50%
0c / 5c 0a, reusable:  50.00%, success:  16.50%
2c / 0c 1a, reusable:  45.00%, success:  15.50%
1c / 1c 0a, reusable:  81.00%, success:  15.23%
0c / 3c 0a, reusable:  50.00%, success:  14.85%
0c / 4c 1a, reusable:  43.33%, success:  14.03%
0c / 3c 1a, reusable:  41.67%, success:  13.41%
0c / 2c 1a, reusable:  35.56%, success:  11.14%
0c / 2c 0a, reusable:  50.00%, success:  10.23%
2c / 0c 0a, reusable:  45.00%, success:   9.14%
0c / 1c 1a, reusable:  23.83%, success:   6.39%
0c / 1c 0a, reusable:  50.00%, success:   5.45%
1c / 0c 1a, reusable:  31.00%, success:   5.00%
1c / 0c 0a, reusable:  31.00%, success:   2.95%

2p/2s
-----------------------------------
