
-------------------------------------
(0, 1)
Recomb: 2p/0s + 0p/2s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 18.98%
Recomb: 1p/1s + 1p/0s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 18.41%
Recomb: 1p/1s + 1p/1s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 18.04%
Recomb: 2p/0s + 0p/2s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 17.91%
Recomb: 1p/1s + 2p/0s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 17.74%
Recomb: 2p/0s + 0p/1s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 17.60%
Recomb: 1p/1s + 1p/0s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 17.47%
Recomb: 2p/0s + 0p/1s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 16.70%
Recomb: 1p/1s + 1p/1s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 16.57%
Recomb: 2p/0s + 0p/2s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 16.47%
Recomb: 1p/1s + 1p/0s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 16.46%
Recomb: 1p/1s + 1p/0s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 16.11%
Recomb: 1p/1s + 2p/0s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 15.84%
Recomb: 2p/0s + 0p/1s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 15.73%
Recomb: 2p/0s + 0p/1s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 15.40%
Recomb: 1p/1s + 1p/1s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 15.35%
Recomb: 2p/0s + 0p/2s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 15.13%
Recomb: 1p/1s + 2p/0s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 14.16%
Recomb: 2p/0s + 0p/2s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 14.02%
Recomb: 1p/1s + 1p/0s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 13.81%
Recomb: 1p/1s + 1p/0s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 13.71%
Recomb: 2p/0s + 0p/1s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 13.20%
Recomb: 1p/1s + 1p/0s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 13.15%
Recomb: 2p/0s + 0p/1s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 13.10%
Recomb: 2p/0s + 0p/1s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 12.56%
Recomb: 1p/1s + 1p/1s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 12.43%
Recomb: 1p/1s + 2p/0s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 11.88%
