
-------------------------------------
0p/1s
Recomb: 1p/2s + 3p/0s | 0c/2c2a, Prob: 51.84%
Recomb: 2p/1s + 2p/1s | 0c/2c2a, Prob: 51.84%
Recomb: 1p/2s + 3p/0s | 0c/3c0a, Prob: 51.30%
Recomb: 2p/1s + 2p/1s | 0c/3c0a, Prob: 51.30%
Recomb: 1p/2s + 2p/0s | 2c/2c2a, Prob: 50.10%
Recomb: 1p/2s + 3p/0s | 1c/2c2a, Prob: 50.10%
Recomb: 2p/1s + 1p/1s | 2c/2c2a, Prob: 50.10%
Recomb: 2p/1s + 2p/1s | 1c/2c2a, Prob: 50.10%
Recomb: 0p/2s + 2p/0s | 3c/2c1a, Prob: 49.40%
Recomb: 1p/1s + 1p/1s | 3c/2c1a, Prob: 49.40%
Recomb: 1p/2s + 1p/0s | 3c/2c1a, Prob: 49.40%
Recomb: 1p/2s + 2p/0s | 2c/2c1a, Prob: 49.40%
Recomb: 1p/2s + 3p/0s | 1c/2c1a, Prob: 49.40%
Recomb: 2p/1s + 0p/1s | 3c/2c1a, Prob: 49.40%
Recomb: 2p/1s + 1p/1s | 2c/2c1a, Prob: 49.40%
Recomb: 2p/1s + 2p/1s | 1c/2c1a, Prob: 49.40%
Recomb: 1p/2s + 3p/0s | 2c/1c2a, Prob: 49.30%
Recomb: 2p/1s + 2p/1s | 2c/1c2a, Prob: 49.30%
Recomb: 0p/2s + 2p/0s | 2c/4c0a, Prob: 47.90%
Recomb: 0p/2s + 2p/0s | 4c/2c0a, Prob: 47.90%
Recomb: 1p/1s + 1p/1s | 2c/4c0a, Prob: 47.90%
Recomb: 1p/1s + 1p/1s | 4c/2c0a, Prob: 47.90%
Recomb: 1p/2s + 1p/0s | 2c/4c0a, Prob: 47.90%
Recomb: 1p/2s + 1p/1s | 2c/3c0a, Prob: 47.90%
Recomb: 1p/2s + 1p/2s | 2c/2c0a, Prob: 47.90%
Recomb: 1p/2s + 1p/0s | 4c/2c0a, Prob: 47.90%
Recomb: 1p/2s + 2p/0s | 1c/4c0a, Prob: 47.90%
Recomb: 1p/2s + 2p/1s | 1c/3c0a, Prob: 47.90%
Recomb: 1p/2s + 2p/0s | 3c/2c0a, Prob: 47.90%
Recomb: 1p/2s + 2p/1s | 3c/1c0a, Prob: 47.90%
Recomb: 1p/2s + 3p/0s | 2c/2c0a, Prob: 47.90%
Recomb: 2p/1s + 0p/1s | 2c/4c0a, Prob: 47.90%
Recomb: 2p/1s + 0p/2s | 2c/3c0a, Prob: 47.90%
Recomb: 2p/1s + 0p/3s | 2c/2c0a, Prob: 47.90%
Recomb: 2p/1s + 0p/1s | 4c/2c0a, Prob: 47.90%
Recomb: 2p/1s + 1p/1s | 1c/4c0a, Prob: 47.90%
Recomb: 2p/1s + 1p/1s | 3c/2c0a, Prob: 47.90%
Recomb: 2p/1s + 2p/1s | 2c/2c0a, Prob: 47.90%
Recomb: 1p/2s + 2p/1s | 2c/1c1a, Prob: 45.60%
Recomb: 1p/2s + 2p/0s | 0c/4c0a, Prob: 44.64%
Recomb: 1p/2s + 2p/1s | 0c/3c0a, Prob: 44.64%
Recomb: 1p/2s + 2p/1s | 3c/0c0a, Prob: 44.64%
Recomb: 2p/1s + 1p/1s | 0c/4c0a, Prob: 44.64%
Recomb: 1p/2s + 3p/0s | 0c/2c1a, Prob: 44.46%
Recomb: 2p/1s + 2p/1s | 0c/2c1a, Prob: 44.46%
Recomb: 1p/2s + 2p/0s | 2c/1c2a, Prob: 41.80%
Recomb: 1p/2s + 3p/0s | 1c/1c2a, Prob: 41.80%
Recomb: 2p/1s + 1p/1s | 2c/1c2a, Prob: 41.80%
Recomb: 2p/1s + 2p/1s | 1c/1c2a, Prob: 41.80%
Recomb: 1p/2s + 2p/0s | 3c/1c1a, Prob: 41.70%
Recomb: 1p/2s + 3p/0s | 2c/1c1a, Prob: 41.70%
Recomb: 2p/1s + 1p/1s | 3c/1c1a, Prob: 41.70%
Recomb: 2p/1s + 2p/1s | 2c/1c1a, Prob: 41.70%
Recomb: 0p/2s + 2p/0s | 2c/3c1a, Prob: 41.42%
Recomb: 1p/1s + 1p/1s | 2c/3c1a, Prob: 41.42%
Recomb: 1p/2s + 1p/0s | 2c/3c1a, Prob: 41.42%
Recomb: 1p/2s + 2p/0s | 1c/3c1a, Prob: 41.42%
Recomb: 2p/1s + 0p/1s | 2c/3c1a, Prob: 41.42%
Recomb: 2p/1s + 1p/1s | 1c/3c1a, Prob: 41.42%
Recomb: 0p/2s + 2p/0s | 2c/3c0a, Prob: 41.15%
Recomb: 0p/2s + 2p/0s | 3c/2c0a, Prob: 41.15%
Recomb: 1p/1s + 1p/1s | 2c/3c0a, Prob: 41.15%
Recomb: 1p/1s + 1p/1s | 3c/2c0a, Prob: 41.15%
Recomb: 1p/2s + 1p/0s | 2c/3c0a, Prob: 41.15%
Recomb: 1p/2s + 1p/1s | 2c/2c0a, Prob: 41.15%
Recomb: 1p/2s + 1p/2s | 2c/1c0a, Prob: 41.15%
Recomb: 1p/2s + 1p/0s | 3c/2c0a, Prob: 41.15%
Recomb: 1p/2s + 1p/1s | 3c/1c0a, Prob: 41.15%
Recomb: 1p/2s + 2p/0s | 1c/3c0a, Prob: 41.15%
Recomb: 1p/2s + 2p/1s | 1c/2c0a, Prob: 41.15%
Recomb: 1p/2s + 2p/0s | 2c/2c0a, Prob: 41.15%
Recomb: 1p/2s + 2p/1s | 2c/1c0a, Prob: 41.15%
Recomb: 1p/2s + 3p/0s | 1c/2c0a, Prob: 41.15%
Recomb: 2p/1s + 0p/1s | 2c/3c0a, Prob: 41.15%
Recomb: 2p/1s + 0p/2s | 2c/2c0a, Prob: 41.15%
Recomb: 2p/1s + 0p/3s | 2c/1c0a, Prob: 41.15%
Recomb: 2p/1s + 0p/1s | 3c/2c0a, Prob: 41.15%
Recomb: 2p/1s + 0p/2s | 3c/1c0a, Prob: 41.15%
Recomb: 2p/1s + 1p/1s | 1c/3c0a, Prob: 41.15%
Recomb: 2p/1s + 1p/1s | 2c/2c0a, Prob: 41.15%
Recomb: 2p/1s + 2p/1s | 1c/2c0a, Prob: 41.15%
Recomb: 1p/2s + 2p/0s | 0c/3c1a, Prob: 40.18%
Recomb: 2p/1s + 1p/1s | 0c/3c1a, Prob: 40.18%
Recomb: 1p/2s + 1p/1s | 2c/2c1a, Prob: 39.26%
Recomb: 1p/2s + 2p/1s | 1c/2c1a, Prob: 39.26%
Recomb: 2p/1s + 0p/2s | 2c/2c1a, Prob: 39.26%
Recomb: 1p/2s + 2p/1s | 0c/2c1a, Prob: 38.69%
Recomb: 1p/2s + 3p/0s | 0c/1c2a, Prob: 37.62%
Recomb: 2p/1s + 2p/1s | 0c/1c2a, Prob: 37.62%
Recomb: 1p/2s + 2p/0s | 0c/2c2a, Prob: 35.71%
Recomb: 2p/1s + 1p/1s | 0c/2c2a, Prob: 35.71%
Recomb: 1p/2s + 3p/0s | 2c/0c2a, Prob: 35.50%
Recomb: 2p/1s + 2p/1s | 2c/0c2a, Prob: 35.50%
Recomb: 1p/2s + 1p/1s | 3c/0c0a, Prob: 35.34%
Recomb: 1p/2s + 2p/0s | 0c/3c0a, Prob: 35.34%
Recomb: 1p/2s + 2p/1s | 0c/2c0a, Prob: 35.34%
Recomb: 1p/2s + 2p/1s | 2c/0c0a, Prob: 35.34%
Recomb: 2p/1s + 0p/2s | 3c/0c0a, Prob: 35.34%
Recomb: 2p/1s + 1p/1s | 0c/3c0a, Prob: 35.34%
Recomb: 0p/2s + 2p/0s | 3c/1c1a, Prob: 34.95%
Recomb: 1p/1s + 1p/1s | 3c/1c1a, Prob: 34.95%
Recomb: 1p/2s + 1p/0s | 3c/1c1a, Prob: 34.95%
Recomb: 1p/2s + 2p/0s | 2c/1c1a, Prob: 34.95%
Recomb: 1p/2s + 3p/0s | 1c/1c1a, Prob: 34.95%
Recomb: 2p/1s + 0p/1s | 3c/1c1a, Prob: 34.95%
Recomb: 2p/1s + 1p/1s | 2c/1c1a, Prob: 34.95%
Recomb: 2p/1s + 2p/1s | 1c/1c1a, Prob: 34.95%
Recomb: 0p/2s + 2p/0s | 2c/2c2a, Prob: 34.94%
Recomb: 1p/1s + 1p/1s | 2c/2c2a, Prob: 34.94%
Recomb: 1p/2s + 1p/0s | 2c/2c2a, Prob: 34.94%
Recomb: 1p/2s + 2p/0s | 1c/2c2a, Prob: 34.94%
Recomb: 2p/1s + 0p/1s | 2c/2c2a, Prob: 34.94%
Recomb: 2p/1s + 1p/1s | 1c/2c2a, Prob: 34.94%
Recomb: 0p/2s + 2p/0s | 2c/2c1a, Prob: 34.31%
Recomb: 1p/1s + 1p/1s | 2c/2c1a, Prob: 34.31%
Recomb: 1p/2s + 1p/0s | 2c/2c1a, Prob: 34.31%
Recomb: 1p/2s + 2p/0s | 1c/2c1a, Prob: 34.31%
Recomb: 2p/1s + 0p/1s | 2c/2c1a, Prob: 34.31%
Recomb: 2p/1s + 1p/1s | 1c/2c1a, Prob: 34.31%
Recomb: 1p/2s + 2p/1s | 0c/1c2a, Prob: 32.74%
Recomb: 1p/2s + 1p/1s | 2c/1c1a, Prob: 30.89%
Recomb: 1p/2s + 2p/1s | 1c/1c1a, Prob: 30.89%
Recomb: 2p/1s + 0p/2s | 2c/1c1a, Prob: 30.89%
Recomb: 1p/2s + 2p/0s | 0c/2c1a, Prob: 30.63%
Recomb: 2p/1s + 1p/1s | 0c/2c1a, Prob: 30.63%
Recomb: 1p/2s + 2p/1s | 1c/1c2a, Prob: 30.62%
Recomb: 1p/2s + 2p/0s | 2c/0c2a, Prob: 28.75%
Recomb: 1p/2s + 2p/1s | 2c/0c1a, Prob: 28.75%
Recomb: 1p/2s + 3p/0s | 1c/0c2a, Prob: 28.75%
Recomb: 2p/1s + 1p/1s | 2c/0c2a, Prob: 28.75%
Recomb: 2p/1s + 2p/1s | 1c/0c2a, Prob: 28.75%
Recomb: 1p/2s + 2p/1s | 0c/1c1a, Prob: 28.27%
Recomb: 0p/2s + 2p/0s | 2c/2c0a, Prob: 27.90%
Recomb: 1p/1s + 1p/1s | 2c/2c0a, Prob: 27.90%
Recomb: 1p/2s + 1p/0s | 2c/2c0a, Prob: 27.90%
Recomb: 1p/2s + 1p/1s | 2c/1c0a, Prob: 27.90%
Recomb: 1p/2s + 1p/2s | 2c/0c0a, Prob: 27.90%
Recomb: 1p/2s + 2p/0s | 1c/2c0a, Prob: 27.90%
Recomb: 1p/2s + 2p/1s | 1c/1c0a, Prob: 27.90%
Recomb: 1p/2s + 3p/0s | 0c/2c0a, Prob: 27.90%
Recomb: 2p/1s + 0p/1s | 2c/2c0a, Prob: 27.90%
Recomb: 2p/1s + 0p/2s | 2c/1c0a, Prob: 27.90%
Recomb: 2p/1s + 0p/3s | 2c/0c0a, Prob: 27.90%
Recomb: 2p/1s + 1p/1s | 1c/2c0a, Prob: 27.90%
Recomb: 2p/1s + 2p/1s | 0c/2c0a, Prob: 27.90%
Recomb: 0p/2s + 2p/0s | 2c/1c2a, Prob: 27.47%
Recomb: 1p/1s + 1p/1s | 2c/1c2a, Prob: 27.47%
Recomb: 1p/2s + 1p/0s | 2c/1c2a, Prob: 27.47%
Recomb: 1p/2s + 2p/0s | 1c/1c2a, Prob: 27.47%
Recomb: 2p/1s + 0p/1s | 2c/1c2a, Prob: 27.47%
Recomb: 2p/1s + 1p/1s | 1c/1c2a, Prob: 27.47%
Recomb: 0p/2s + 2p/0s | 1c/4c0a, Prob: 27.32%
Recomb: 0p/2s + 2p/0s | 4c/1c0a, Prob: 27.32%
Recomb: 1p/1s + 1p/1s | 1c/4c0a, Prob: 27.32%
Recomb: 1p/1s + 1p/1s | 4c/1c0a, Prob: 27.32%
Recomb: 1p/2s + 1p/0s | 1c/4c0a, Prob: 27.32%
Recomb: 1p/2s + 1p/1s | 1c/3c0a, Prob: 27.32%
Recomb: 1p/2s + 1p/2s | 1c/2c0a, Prob: 27.32%
Recomb: 1p/2s + 1p/0s | 4c/1c0a, Prob: 27.32%
Recomb: 1p/2s + 2p/0s | 3c/1c0a, Prob: 27.32%
Recomb: 1p/2s + 3p/0s | 2c/1c0a, Prob: 27.32%
Recomb: 2p/1s + 0p/1s | 1c/4c0a, Prob: 27.32%
Recomb: 2p/1s + 0p/2s | 1c/3c0a, Prob: 27.32%
Recomb: 2p/1s + 0p/3s | 1c/2c0a, Prob: 27.32%
Recomb: 2p/1s + 0p/1s | 4c/1c0a, Prob: 27.32%
Recomb: 2p/1s + 1p/1s | 3c/1c0a, Prob: 27.32%
Recomb: 2p/1s + 2p/1s | 2c/1c0a, Prob: 27.32%
Recomb: 1p/2s + 2p/0s | 0c/1c2a, Prob: 25.92%
Recomb: 2p/1s + 1p/1s | 0c/1c2a, Prob: 25.92%
Recomb: 0p/2s + 2p/0s | 0c/4c0a, Prob: 23.76%
Recomb: 0p/2s + 2p/0s | 4c/0c0a, Prob: 23.76%
Recomb: 1p/1s + 1p/1s | 0c/4c0a, Prob: 23.76%
Recomb: 1p/1s + 1p/1s | 4c/0c0a, Prob: 23.76%
Recomb: 1p/2s + 1p/0s | 0c/4c0a, Prob: 23.76%
Recomb: 1p/2s + 1p/1s | 0c/3c0a, Prob: 23.76%
Recomb: 1p/2s + 1p/2s | 0c/2c0a, Prob: 23.76%
Recomb: 1p/2s + 1p/0s | 4c/0c0a, Prob: 23.76%
Recomb: 1p/2s + 2p/0s | 3c/0c0a, Prob: 23.76%
Recomb: 1p/2s + 3p/0s | 2c/0c0a, Prob: 23.76%
Recomb: 2p/1s + 0p/1s | 0c/4c0a, Prob: 23.76%
Recomb: 2p/1s + 0p/2s | 0c/3c0a, Prob: 23.76%
Recomb: 2p/1s + 0p/3s | 0c/2c0a, Prob: 23.76%
Recomb: 2p/1s + 0p/1s | 4c/0c0a, Prob: 23.76%
Recomb: 2p/1s + 1p/1s | 3c/0c0a, Prob: 23.76%
Recomb: 2p/1s + 2p/1s | 2c/0c0a, Prob: 23.76%
Recomb: 1p/2s + 2p/0s | 3c/0c1a, Prob: 23.32%
Recomb: 1p/2s + 3p/0s | 2c/0c1a, Prob: 23.32%
Recomb: 2p/1s + 1p/1s | 3c/0c1a, Prob: 23.32%
Recomb: 2p/1s + 2p/1s | 2c/0c1a, Prob: 23.32%
Recomb: 0p/2s + 2p/0s | 1c/3c1a, Prob: 22.86%
Recomb: 1p/1s + 1p/1s | 1c/3c1a, Prob: 22.86%
Recomb: 1p/2s + 1p/0s | 1c/3c1a, Prob: 22.86%
Recomb: 2p/1s + 0p/1s | 1c/3c1a, Prob: 22.86%
Recomb: 0p/2s + 2p/0s | 1c/3c0a, Prob: 22.67%
Recomb: 0p/2s + 2p/0s | 3c/1c0a, Prob: 22.67%
Recomb: 1p/1s + 1p/1s | 1c/3c0a, Prob: 22.67%
Recomb: 1p/1s + 1p/1s | 3c/1c0a, Prob: 22.67%
Recomb: 1p/2s + 1p/0s | 1c/3c0a, Prob: 22.67%
Recomb: 1p/2s + 1p/1s | 1c/2c0a, Prob: 22.67%
Recomb: 1p/2s + 1p/2s | 1c/1c0a, Prob: 22.67%
Recomb: 1p/2s + 1p/0s | 3c/1c0a, Prob: 22.67%
Recomb: 1p/2s + 2p/0s | 2c/1c0a, Prob: 22.67%
Recomb: 1p/2s + 3p/0s | 1c/1c0a, Prob: 22.67%
Recomb: 2p/1s + 0p/1s | 1c/3c0a, Prob: 22.67%
Recomb: 2p/1s + 0p/2s | 1c/2c0a, Prob: 22.67%
Recomb: 2p/1s + 0p/3s | 1c/1c0a, Prob: 22.67%
Recomb: 2p/1s + 0p/1s | 3c/1c0a, Prob: 22.67%
Recomb: 2p/1s + 1p/1s | 2c/1c0a, Prob: 22.67%
Recomb: 2p/1s + 2p/1s | 1c/1c0a, Prob: 22.67%
Recomb: 0p/2s + 2p/0s | 2c/1c1a, Prob: 22.32%
Recomb: 1p/1s + 1p/1s | 2c/1c1a, Prob: 22.32%
Recomb: 1p/2s + 1p/0s | 2c/1c1a, Prob: 22.32%
Recomb: 1p/2s + 2p/0s | 1c/1c1a, Prob: 22.32%
Recomb: 1p/2s + 3p/0s | 0c/1c1a, Prob: 22.32%
Recomb: 2p/1s + 0p/1s | 2c/1c1a, Prob: 22.32%
Recomb: 2p/1s + 1p/1s | 1c/1c1a, Prob: 22.32%
Recomb: 2p/1s + 2p/1s | 0c/1c1a, Prob: 22.32%
Recomb: 0p/2s + 2p/0s | 0c/3c1a, Prob: 21.38%
Recomb: 1p/1s + 1p/1s | 0c/3c1a, Prob: 21.38%
Recomb: 1p/2s + 1p/0s | 0c/3c1a, Prob: 21.38%
Recomb: 2p/1s + 0p/1s | 0c/3c1a, Prob: 21.38%
Recomb: 1p/2s + 1p/1s | 1c/2c1a, Prob: 21.37%
Recomb: 2p/1s + 0p/2s | 1c/2c1a, Prob: 21.37%
Recomb: 1p/2s + 2p/1s | 0c/0c2a, Prob: 21.20%
Recomb: 1p/2s + 2p/1s | 1c/0c2a, Prob: 20.63%
Recomb: 1p/2s + 1p/1s | 0c/2c1a, Prob: 20.59%
Recomb: 2p/1s + 0p/2s | 0c/2c1a, Prob: 20.59%
Recomb: 1p/2s + 1p/1s | 2c/0c0a, Prob: 19.22%
Recomb: 1p/2s + 2p/0s | 0c/2c0a, Prob: 19.22%
Recomb: 1p/2s + 2p/1s | 0c/1c0a, Prob: 19.22%
Recomb: 1p/2s + 2p/1s | 1c/0c0a, Prob: 19.22%
Recomb: 2p/1s + 0p/2s | 2c/0c0a, Prob: 19.22%
Recomb: 2p/1s + 1p/1s | 0c/2c0a, Prob: 19.22%
Recomb: 0p/2s + 2p/0s | 0c/2c2a, Prob: 19.01%
Recomb: 1p/1s + 1p/1s | 0c/2c2a, Prob: 19.01%
Recomb: 1p/2s + 1p/0s | 0c/2c2a, Prob: 19.01%
Recomb: 1p/2s + 1p/2s | 0c/1c1a, Prob: 19.01%
Recomb: 2p/1s + 0p/1s | 0c/2c2a, Prob: 19.01%
Recomb: 2p/1s + 0p/3s | 0c/1c1a, Prob: 19.01%
Recomb: 0p/2s + 2p/0s | 0c/3c0a, Prob: 18.81%
Recomb: 0p/2s + 2p/0s | 3c/0c0a, Prob: 18.81%
Recomb: 1p/1s + 1p/1s | 0c/3c0a, Prob: 18.81%
Recomb: 1p/1s + 1p/1s | 3c/0c0a, Prob: 18.81%
Recomb: 1p/2s + 1p/0s | 0c/3c0a, Prob: 18.81%
Recomb: 1p/2s + 1p/1s | 0c/2c0a, Prob: 18.81%
Recomb: 1p/2s + 1p/2s | 0c/1c0a, Prob: 18.81%
Recomb: 1p/2s + 1p/0s | 3c/0c0a, Prob: 18.81%
Recomb: 1p/2s + 2p/0s | 2c/0c0a, Prob: 18.81%
Recomb: 1p/2s + 3p/0s | 1c/0c0a, Prob: 18.81%
Recomb: 2p/1s + 0p/1s | 0c/3c0a, Prob: 18.81%
Recomb: 2p/1s + 0p/2s | 0c/2c0a, Prob: 18.81%
Recomb: 2p/1s + 0p/3s | 0c/1c0a, Prob: 18.81%
Recomb: 2p/1s + 0p/1s | 3c/0c0a, Prob: 18.81%
Recomb: 2p/1s + 1p/1s | 2c/0c0a, Prob: 18.81%
Recomb: 2p/1s + 2p/1s | 1c/0c0a, Prob: 18.81%
Recomb: 0p/2s + 2p/0s | 3c/0c1a, Prob: 18.67%
Recomb: 1p/1s + 1p/1s | 3c/0c1a, Prob: 18.67%
Recomb: 1p/2s + 1p/0s | 3c/0c1a, Prob: 18.67%
Recomb: 1p/2s + 2p/0s | 2c/0c1a, Prob: 18.67%
Recomb: 1p/2s + 3p/0s | 1c/0c1a, Prob: 18.67%
Recomb: 2p/1s + 0p/1s | 3c/0c1a, Prob: 18.67%
Recomb: 2p/1s + 1p/1s | 2c/0c1a, Prob: 18.67%
Recomb: 2p/1s + 2p/1s | 1c/0c1a, Prob: 18.67%
Recomb: 0p/2s + 2p/0s | 1c/2c2a, Prob: 18.39%
Recomb: 1p/1s + 1p/1s | 1c/2c2a, Prob: 18.39%
Recomb: 1p/2s + 1p/0s | 1c/2c2a, Prob: 18.39%
Recomb: 1p/2s + 1p/2s | 1c/1c1a, Prob: 18.39%
Recomb: 2p/1s + 0p/1s | 1c/2c2a, Prob: 18.39%
Recomb: 2p/1s + 0p/3s | 1c/1c1a, Prob: 18.39%
Recomb: 0p/2s + 2p/0s | 1c/2c1a, Prob: 17.96%
Recomb: 1p/1s + 1p/1s | 1c/2c1a, Prob: 17.96%
Recomb: 1p/2s + 1p/0s | 1c/2c1a, Prob: 17.96%
Recomb: 2p/1s + 0p/1s | 1c/2c1a, Prob: 17.96%
Recomb: 1p/2s + 1p/1s | 0c/1c2a, Prob: 17.42%
Recomb: 2p/1s + 0p/2s | 0c/1c2a, Prob: 17.42%
Recomb: 0p/2s + 2p/0s | 2c/0c2a, Prob: 16.74%
Recomb: 1p/1s + 1p/1s | 2c/0c2a, Prob: 16.74%
Recomb: 1p/2s + 1p/0s | 2c/0c2a, Prob: 16.74%
Recomb: 1p/2s + 1p/1s | 2c/0c1a, Prob: 16.74%
Recomb: 1p/2s + 2p/0s | 1c/0c2a, Prob: 16.74%
Recomb: 1p/2s + 2p/1s | 1c/0c1a, Prob: 16.74%
Recomb: 1p/2s + 3p/0s | 0c/0c2a, Prob: 16.74%
Recomb: 2p/1s + 0p/1s | 2c/0c2a, Prob: 16.74%
Recomb: 2p/1s + 0p/2s | 2c/0c1a, Prob: 16.74%
Recomb: 2p/1s + 1p/1s | 1c/0c2a, Prob: 16.74%
Recomb: 2p/1s + 2p/1s | 0c/0c2a, Prob: 16.74%
Recomb: 0p/2s + 2p/0s | 0c/2c1a, Prob: 16.30%
Recomb: 1p/1s + 1p/1s | 0c/2c1a, Prob: 16.30%
Recomb: 1p/2s + 1p/0s | 0c/2c1a, Prob: 16.30%
Recomb: 2p/1s + 0p/1s | 0c/2c1a, Prob: 16.30%
Recomb: 1p/2s + 1p/1s | 1c/1c1a, Prob: 15.60%
Recomb: 2p/1s + 0p/2s | 1c/1c1a, Prob: 15.60%
Recomb: 1p/2s + 1p/1s | 1c/1c2a, Prob: 15.42%
Recomb: 2p/1s + 0p/2s | 1c/1c2a, Prob: 15.42%
Recomb: 1p/2s + 2p/0s | 0c/1c1a, Prob: 15.38%
Recomb: 2p/1s + 1p/1s | 0c/1c1a, Prob: 15.38%
Recomb: 1p/2s + 1p/1s | 0c/1c1a, Prob: 15.05%
Recomb: 2p/1s + 0p/2s | 0c/1c1a, Prob: 15.05%
Recomb: 1p/2s + 1p/2s | 0c/0c2a, Prob: 14.26%
Recomb: 2p/1s + 0p/3s | 0c/0c2a, Prob: 14.26%
Recomb: 0p/2s + 2p/0s | 1c/2c0a, Prob: 14.11%
Recomb: 0p/2s + 2p/0s | 2c/1c0a, Prob: 14.11%
Recomb: 1p/1s + 1p/1s | 1c/2c0a, Prob: 14.11%
Recomb: 1p/1s + 1p/1s | 2c/1c0a, Prob: 14.11%
Recomb: 1p/2s + 1p/0s | 1c/2c0a, Prob: 14.11%
Recomb: 1p/2s + 1p/1s | 1c/1c0a, Prob: 14.11%
Recomb: 1p/2s + 1p/0s | 2c/1c0a, Prob: 14.11%
Recomb: 1p/2s + 2p/0s | 1c/1c0a, Prob: 14.11%
Recomb: 2p/1s + 0p/1s | 1c/2c0a, Prob: 14.11%
Recomb: 2p/1s + 0p/2s | 1c/1c0a, Prob: 14.11%
Recomb: 2p/1s + 0p/1s | 2c/1c0a, Prob: 14.11%
Recomb: 2p/1s + 1p/1s | 1c/1c0a, Prob: 14.11%
Recomb: 0p/2s + 2p/0s | 0c/1c2a, Prob: 13.79%
Recomb: 1p/1s + 1p/1s | 0c/1c2a, Prob: 13.79%
Recomb: 1p/2s + 1p/0s | 0c/1c2a, Prob: 13.79%
Recomb: 2p/1s + 0p/1s | 0c/1c2a, Prob: 13.79%
Recomb: 0p/2s + 2p/0s | 1c/1c2a, Prob: 13.25%
Recomb: 1p/1s + 1p/1s | 1c/1c2a, Prob: 13.25%
Recomb: 1p/2s + 1p/0s | 1c/1c2a, Prob: 13.25%
Recomb: 2p/1s + 0p/1s | 1c/1c2a, Prob: 13.25%
Recomb: 1p/2s + 2p/0s | 0c/0c2a, Prob: 11.53%
Recomb: 1p/2s + 2p/1s | 0c/0c1a, Prob: 11.53%
Recomb: 2p/1s + 1p/1s | 0c/0c2a, Prob: 11.53%
Recomb: 1p/2s + 1p/1s | 0c/0c2a, Prob: 11.29%
Recomb: 1p/2s + 1p/2s | 0c/0c1a, Prob: 11.29%
Recomb: 2p/1s + 0p/2s | 0c/0c2a, Prob: 11.29%
Recomb: 2p/1s + 0p/3s | 0c/0c1a, Prob: 11.29%
Recomb: 0p/2s + 2p/0s | 2c/0c1a, Prob: 10.51%
Recomb: 1p/1s + 1p/1s | 2c/0c1a, Prob: 10.51%
Recomb: 1p/2s + 1p/0s | 2c/0c1a, Prob: 10.51%
Recomb: 1p/2s + 2p/0s | 1c/0c1a, Prob: 10.51%
Recomb: 2p/1s + 0p/1s | 2c/0c1a, Prob: 10.51%
Recomb: 2p/1s + 1p/1s | 1c/0c1a, Prob: 10.51%
Recomb: 0p/2s + 2p/0s | 1c/1c1a, Prob: 10.27%
Recomb: 1p/1s + 1p/1s | 1c/1c1a, Prob: 10.27%
Recomb: 1p/2s + 1p/0s | 1c/1c1a, Prob: 10.27%
Recomb: 2p/1s + 0p/1s | 1c/1c1a, Prob: 10.27%
Recomb: 0p/2s + 2p/0s | 0c/2c0a, Prob: 10.23%
Recomb: 0p/2s + 2p/0s | 2c/0c0a, Prob: 10.23%
Recomb: 1p/1s + 1p/1s | 0c/2c0a, Prob: 10.23%
Recomb: 1p/1s + 1p/1s | 2c/0c0a, Prob: 10.23%
Recomb: 1p/2s + 1p/0s | 0c/2c0a, Prob: 10.23%
Recomb: 1p/2s + 1p/1s | 0c/1c0a, Prob: 10.23%
Recomb: 1p/2s + 1p/0s | 2c/0c0a, Prob: 10.23%
Recomb: 1p/2s + 2p/0s | 1c/0c0a, Prob: 10.23%
Recomb: 2p/1s + 0p/1s | 0c/2c0a, Prob: 10.23%
Recomb: 2p/1s + 0p/2s | 0c/1c0a, Prob: 10.23%
Recomb: 2p/1s + 0p/1s | 2c/0c0a, Prob: 10.23%
Recomb: 2p/1s + 1p/1s | 1c/0c0a, Prob: 10.23%
Recomb: 1p/2s + 1p/2s | 1c/0c0a, Prob: 9.00%
Recomb: 1p/2s + 3p/0s | 0c/1c0a, Prob: 9.00%
Recomb: 2p/1s + 0p/3s | 1c/0c0a, Prob: 9.00%
Recomb: 2p/1s + 2p/1s | 0c/1c0a, Prob: 9.00%
Recomb: 1p/2s + 1p/1s | 1c/0c2a, Prob: 8.53%
Recomb: 1p/2s + 1p/2s | 1c/0c1a, Prob: 8.53%
Recomb: 2p/1s + 0p/2s | 1c/0c2a, Prob: 8.53%
Recomb: 2p/1s + 0p/3s | 1c/0c1a, Prob: 8.53%
Recomb: 0p/2s + 2p/0s | 0c/1c1a, Prob: 8.18%
Recomb: 1p/1s + 1p/1s | 0c/1c1a, Prob: 8.18%
Recomb: 1p/2s + 1p/0s | 0c/1c1a, Prob: 8.18%
Recomb: 2p/1s + 0p/1s | 0c/1c1a, Prob: 8.18%
Recomb: 0p/2s + 2p/0s | 1c/0c2a, Prob: 6.42%
Recomb: 1p/1s + 1p/1s | 1c/0c2a, Prob: 6.42%
Recomb: 1p/2s + 1p/0s | 1c/0c2a, Prob: 6.42%
Recomb: 1p/2s + 1p/1s | 1c/0c1a, Prob: 6.42%
Recomb: 2p/1s + 0p/1s | 1c/0c2a, Prob: 6.42%
Recomb: 2p/1s + 0p/2s | 1c/0c1a, Prob: 6.42%
Recomb: 0p/2s + 2p/0s | 1c/1c0a, Prob: 6.20%
