
-------------------------------------
0p/1s
Recomb: 0p/1s + 0p/1s | 2c/1c2a, Prob: 65.83%
Recomb: 0p/1s + 0p/1s | 1c/4c0a, Prob: 65.50%
Recomb: 0p/1s + 0p/1s | 2c/2c0a, Prob: 60.50%
Recomb: 0p/1s + 0p/1s | 3c/2c0a, Prob: 60.50%
Recomb: 0p/1s + 0p/1s | 4c/2c0a, Prob: 60.50%
Recomb: 0p/1s + 0p/1s | 0c/2c2a, Prob: 60.00%
Recomb: 0p/1s + 0p/1s | 1c/3c1a, Prob: 59.50%
Recomb: 0p/1s + 0p/1s | 1c/3c0a, Prob: 58.00%
Recomb: 0p/1s + 0p/1s | 0c/3c0a, Prob: 57.00%
Recomb: 0p/1s + 0p/1s | 2c/1c1a, Prob: 55.33%
Recomb: 0p/1s + 0p/1s | 3c/1c1a, Prob: 55.33%
Recomb: 0p/1s + 0p/1s | 1c/2c2a, Prob: 53.50%
Recomb: 0p/1s + 0p/1s | 1c/2c1a, Prob: 51.67%
Recomb: 0p/1s + 0p/1s | 0c/2c1a, Prob: 50.67%
Recomb: 0p/1s + 0p/1s | 2c/0c2a, Prob: 50.17%
Recomb: 0p/1s + 0p/1s | 1c/1c2a, Prob: 45.33%
Recomb: 0p/1s + 0p/1s | 0c/1c2a, Prob: 44.33%
Recomb: 0p/1s + 0p/1s | 1c/2c0a, Prob: 42.05%
Recomb: 0p/1s + 0p/1s | 1c/1c1a, Prob: 36.88%
Recomb: 0p/1s + 0p/1s | 2c/1c0a, Prob: 36.00%
Recomb: 0p/1s + 0p/1s | 3c/1c0a, Prob: 36.00%
Recomb: 0p/1s + 0p/1s | 4c/1c0a, Prob: 36.00%
Recomb: 0p/1s + 0p/1s | 2c/0c0a, Prob: 33.00%
Recomb: 0p/1s + 0p/1s | 3c/0c0a, Prob: 33.00%
Recomb: 0p/1s + 0p/1s | 4c/0c0a, Prob: 33.00%
Recomb: 0p/1s + 0p/1s | 2c/0c1a, Prob: 32.67%
Recomb: 0p/1s + 0p/1s | 3c/0c1a, Prob: 32.67%
Recomb: 0p/1s + 0p/1s | 1c/0c2a, Prob: 31.72%
Recomb: 0p/1s + 0p/1s | 0c/2c0a, Prob: 31.00%
Recomb: 0p/1s + 0p/1s | 0c/1c1a, Prob: 25.83%
