
-------------------------------------
0p/2s
Item1: 0p/2s, Item2: 2p/0s, Exclusive: 1c/1c1a, Prob: 0.3759, Item1 Annul Prob: 0, Item2 Annul Prob: 0, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 1p/1s, Exclusive: 0c/2c2a, Prob: 0.3451, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0, Multimods: 0, Aspect Suffix Count: 2, Eldritch Annuls: 0
Item1: 0p/2s, Item2: 1p/1s, Exclusive: 1c/1c1a, Prob: 0.3431, Item1 Annul Prob: 0, Item2 Annul Prob: 0, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 0
Item1: 0p/2s, Item2: 2p/0s, Exclusive: 0c/0c0a, Prob: 0.33, Item1 Annul Prob: 0, Item2 Annul Prob: 0, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0
Item1: 1p/1s, Item2: 1p/1s, Exclusive: 0c/0c0a, Prob: 0.33, Item1 Annul Prob: 0, Item2 Annul Prob: 0, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 1p/1s, Exclusive: 2c/0c2a, Prob: 0.3178, Item1 Annul Prob: 0.6667, Item2 Annul Prob: 0, Multimods: 0, Aspect Suffix Count: 2, Eldritch Annuls: 0
Item1: 0p/2s, Item2: 1p/0s, Exclusive: 2c/0c2a, Prob: 0.3178, Item1 Annul Prob: 0, Item2 Annul Prob: 0.3889, Multimods: 0, Aspect Suffix Count: 2, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 1p/1s, Exclusive: 0c/2c1a, Prob: 0.2943, Item1 Annul Prob: 0.3889, Item2 Annul Prob: 0, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 1p/1s, Exclusive: 1c/1c1a, Prob: 0.2454, Item1 Annul Prob: 0.6667, Item2 Annul Prob: 0, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 0
Item1: 0p/2s, Item2: 1p/0s, Exclusive: 1c/1c1a, Prob: 0.2454, Item1 Annul Prob: 0, Item2 Annul Prob: 0.6667, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 0
Item1: 0p/2s, Item2: 1p/0s, Exclusive: 2c/0c1a, Prob: 0.2047, Item1 Annul Prob: 0, Item2 Annul Prob: 0.3889, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 0
Item1: 0p/1s, Item2: 1p/1s, Exclusive: 2c/0c0a, Prob: 0.2046, Item1 Annul Prob: 0.6667, Item2 Annul Prob: 0, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0
Item1: 0p/2s, Item2: 1p/0s, Exclusive: 2c/0c0a, Prob: 0.2046, Item1 Annul Prob: 0, Item2 Annul Prob: 0.3889, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0
Item1: 0p/2s, Item2: 1p/0s, Exclusive: 0c/0c0a, Prob: 0.1947, Item1 Annul Prob: 0, Item2 Annul Prob: 0.6667, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0
